Model,MPN,Body Color,Brand,UPC,Body Material,Body Type,Model Year,Size,Country/Region of Manufacture,String Configuration,Orientation,Product Line,Condition,Price
OTHER,NOT AVAILABLE,RED,OTHER,NOT AVAILABLE,OTHER,HEADLESS,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,NOT AVAILABLE,345.0
OTHER,NOT AVAILABLE,RED,FENDER,PROVIDED,OTHER,OTHER,2019.0,OTHER,UNITED STATES,6 STRING,RIGHT-HANDED,OTHER,Used,1395.0
OTHER,PROVIDED,NATURAL,OTHER,NOT AVAILABLE,OTHER,OTHER,2019.0,FULL SIZE,CHINA,6 STRING,RIGHT-HANDED,OTHER,New,199.95
LES PAUL SPECIAL II,NOT AVAILABLE,MULTICOLOR,EPIPHONE,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,EPIPHONE LES PAUL,Used,175.0
OTHER,PROVIDED,BLACK,IBANEZ,PROVIDED,BASSWOOD,SOLID,1998.0,OTHER,JAPAN,7 STRING,RIGHT-HANDED,IBANEZ RG,Used,750.0
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,OTHER,ELECTRIC,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,79.99
OTHER,NOT AVAILABLE,OTHER,GIBSON,PROVIDED,OTHER,OTHER,2019.0,OTHER,UNITED STATES,6 STRING,NOT AVAILABLE,OTHER,Used,80.0
OTHER,NOT AVAILABLE,BLACK,OTHER,PROVIDED,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,225.0
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,OTHER,SEMI-HOLLOW,2017.0,OTHER,KOREA,6 STRING,RIGHT-HANDED,OTHER,Used,475.0
STRATOCASTER HSS,NOT AVAILABLE,RED,FENDER,PROVIDED,OTHER,SOLID,2018.0,FULL SIZE,UNITED STATES,6 STRING,RIGHT-HANDED,FENDER STRATOCASTER,Used,575.0
CUSTOM,NOT AVAILABLE,OTHER,OTHER,PROVIDED,OTHER,SOLID,2018.0,OTHER,CHINA,6 STRING,NOT AVAILABLE,OTHER,NOT AVAILABLE,123.0
OTHER,NOT AVAILABLE,RED,FENDER,PROVIDED,OTHER,OTHER,2015.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,FENDER STRATOCASTER,Used,399.0
OTHER,NOT AVAILABLE,BROWN,OTHER,PROVIDED,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,Used,65.0
OTHER,NOT AVAILABLE,BLACK,ESP,PROVIDED,OTHER,SOLID,2019.0,FULL SIZE,KOREA,6 STRING,RIGHT-HANDED,ESP LTD,New,400.0
SG SPECIAL,NOT AVAILABLE,CHERRY,EPIPHONE,PROVIDED,SOLID WOOD,SOLID,2000.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,149.0
STRATOCASTER,NOT AVAILABLE,SUNBURST,OTHER,PROVIDED,ALDER,SOLID,2019.0,FULL SIZE,UNITED STATES,6 STRING,RIGHT-HANDED,OTHER,Used,650.0
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,OTHER,SOLID,2017.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,1200.0
OTHER,NOT AVAILABLE,OTHER,FENDER,NOT AVAILABLE,OTHER,SOLID,2002.0,OTHER,MEXICO,6 STRING,RIGHT-HANDED,FENDER STRATOCASTER,Used,900.0
STRATOCASTER,NOT AVAILABLE,NATURAL,OTHER,PROVIDED,OTHER,SOLID,2019.0,OTHER,JAPAN,6 STRING,RIGHT-HANDED,FENDER STRATOCASTER,Used,374.99
OTHER,NOT AVAILABLE,OTHER,SILVERTONE,PROVIDED,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,50.0
OTHER,NOT AVAILABLE,OTHER,FENDER,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,FENDER STRATOCASTER,Used,375.0
VINTAGE,PROVIDED,OTHER,IBANEZ,PROVIDED,OTHER,OTHER,1977.0,FULL SIZE,NOT AVAILABLE,12 STRING,RIGHT-HANDED,OTHER,Used,203.0
OTHER,NOT AVAILABLE,BEIGE,WASHBURN,NOT AVAILABLE,LAMINATE,SEMI-HOLLOW,2019.0,OTHER,JAPAN,6 STRING,RIGHT-HANDED,OTHER,Used,899.0
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,OTHER,SEMI-HOLLOW,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,800.0
OTHER,NOT AVAILABLE,GOLD,IBANEZ,NOT AVAILABLE,OTHER,SOLID,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,NOT AVAILABLE,125.0
OTHER,NOT AVAILABLE,OTHER,UNBRANDED,PROVIDED,MAPLE,SOLID,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,NOT AVAILABLE,89.0
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,150.0
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,SPRUCE,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,New,1200.0
STRATOCASTER,NOT AVAILABLE,OTHER,FENDER,PROVIDED,MAPLE,SOLID,1995.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,FENDER STRATOCASTER,Used,449.0
OTHER,PROVIDED,OTHER,OTHER,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,New,89.99
VINTAGE,NOT AVAILABLE,BLACK,OTHER,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,350.0
OTHER,NOT AVAILABLE,OTHER,ESP,PROVIDED,MAHOGANY,SOLID,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,ESP LTD,Used,350.0
OTHER,NOT AVAILABLE,WHITE,CHARVEL,PROVIDED,OTHER,SOLID,2010.0,OTHER,UNITED STATES,6 STRING,RIGHT-HANDED,OTHER,Used,1299.0
OTHER,NOT AVAILABLE,WHITE,KRAMER,NOT AVAILABLE,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,279.99
CUSTOM,NOT AVAILABLE,OTHER,OTHER,PROVIDED,MAHOGANY,SOLID,2019.0,FULL SIZE,CHINA,6 STRING,RIGHT-HANDED,OTHER,Used,299.99
OTHER,NOT AVAILABLE,BLACK,JACKSON,PROVIDED,OTHER,SOLID,1999.0,OTHER,JAPAN,6 STRING,RIGHT-HANDED,OTHER,Used,250.0
OTHER,NOT AVAILABLE,WHITE,FENDER,PROVIDED,OTHER,SOLID,2006.0,OTHER,MEXICO,6 STRING,LEFT-HANDED,FENDER STRATOCASTER,Used,545.0
OTHER,NOT AVAILABLE,NATURAL,OTHER,PROVIDED,OTHER,OTHER,2019.0,OTHER,JAPAN,6 STRING,RIGHT-HANDED,OTHER,Used,350.0
OTHER,NOT AVAILABLE,BLONDE,G&L,PROVIDED,ASH,SOLID,2011.0,FULL SIZE,UNITED STATES,6 STRING,RIGHT-HANDED,OTHER,Used,806.94
OTHER,PROVIDED,OTHER,EVH,PROVIDED,OTHER,OTHER,2020.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,New,1699.99
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,NOT AVAILABLE,65.0
OTHER,NOT AVAILABLE,SUNBURST,OTHER,PROVIDED,OTHER,OTHER,2019.0,OTHER,JAPAN,6 STRING,RIGHT-HANDED,OTHER,Used,555.0
OTHER,NOT AVAILABLE,BROWN,PEAVEY,NOT AVAILABLE,MAPLE,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,219.99
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,80.0
OTHER,NOT AVAILABLE,OTHER,EVH,PROVIDED,BASSWOOD,SOLID,2010.0,OTHER,JAPAN,6 STRING,RIGHT-HANDED,OTHER,Used,615.0
OTHER,NOT AVAILABLE,WHITE,IBANEZ,PROVIDED,ALDER,SOLID,2019.0,OTHER,CHINA,6 STRING,RIGHT-HANDED,OTHER,Used,249.0
OTHER,PROVIDED,BLACK,OTHER,NOT AVAILABLE,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,Open box,129.0
OTHER,NOT AVAILABLE,BROWN,OTHER,NOT AVAILABLE,WALNUT,SEMI-HOLLOW,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,239.96
OTHER,NOT AVAILABLE,RED,FENDER,PROVIDED,ALDER,SOLID,1997.0,OTHER,UNITED STATES,6 STRING,RIGHT-HANDED,FENDER STRATOCASTER,Used,1950.0
OTHER,NOT AVAILABLE,BROWN,GIBSON,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,GIBSON LES PAUL,Used,500.0
OTHER,NOT AVAILABLE,RED,IBANEZ,NOT AVAILABLE,BASSWOOD,SOLID,2008.0,OTHER,INDONESIA,6 STRING,RIGHT-HANDED,IBANEZ RG,New,400.0
OTHER,NOT AVAILABLE,YELLOW,FIREFLY,NOT AVAILABLE,MAHOGANY,SOLID,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,NOT AVAILABLE,109.0
OTHER,NOT AVAILABLE,WHITE,GIBSON,NOT AVAILABLE,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,STUDIO,Used,799.99
OTHER,PROVIDED,NATURAL,SCHECTER,NOT AVAILABLE,OTHER,SOLID,2019.0,OTHER,KOREA,7 STRING,RIGHT-HANDED,OTHER,Used,510.0
OTHER,NOT AVAILABLE,WHITE,OTHER,NOT AVAILABLE,SOLID WOOD,SOLID,2019.0,FULL SIZE,UNITED STATES,6 STRING,RIGHT-HANDED,OTHER,Used,295.0
LES PAUL STANDARD,NOT AVAILABLE,OTHER,GIBSON,PROVIDED,SOLID WOOD,SOLID,2018.0,OTHER,UNITED STATES,6 STRING,RIGHT-HANDED,GIBSON LES PAUL,Used,2000.0
OTHER,NOT AVAILABLE,GOLD,FIREFLY,NOT AVAILABLE,MAHOGANY,SOLID,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,NOT AVAILABLE,89.0
SG SPECIAL,NOT AVAILABLE,OTHER,GIBSON,PROVIDED,OTHER,SOLID,2003.0,FULL SIZE,UNITED STATES,6 STRING,RIGHT-HANDED,GIBSON SG,Used,800.0
OTHER,PROVIDED,RED,OTHER,NOT AVAILABLE,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,31.0
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,OTHER,SOLID,1982.0,FULL SIZE,JAPAN,6 STRING,RIGHT-HANDED,OTHER,Used,375.0
VINTAGE,NOT AVAILABLE,YELLOW,OTHER,PROVIDED,OTHER,SOLID,2019.0,FULL SIZE,JAPAN,6 STRING,RIGHT-HANDED,OTHER,Used,265.0
OTHER,NOT AVAILABLE,OTHER,OTHER,NOT AVAILABLE,OTHER,OTHER,2019.0,OTHER,CHINA,6 STRING,RIGHT-HANDED,OTHER,NOT AVAILABLE,675.0
OTHER,NOT AVAILABLE,OTHER,ESP,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,OTHER,NOT AVAILABLE,OTHER,New,849.0
OTHER,PROVIDED,OTHER,OTHER,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,OTHER,NOT AVAILABLE,OTHER,New,259.99
OTHER,PROVIDED,OTHER,OTHER,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,New,104.74
OTHER,NOT AVAILABLE,OTHER,UNBRANDED,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,New,70.99
OTHER,PROVIDED,OTHER,SQUIER,PROVIDED,BASSWOOD,SOLIDBODY,2019.0,OTHER,NOT AVAILABLE,OTHER,RIGHT-HANDED,OTHER,New,599.99
OTHER,PROVIDED,GREEN,OTHER,NOT AVAILABLE,SOLID WOOD,SOLID,2019.0,FULL SIZE,CHINA,6 STRING,RIGHT-HANDED,OTHER,New,76.95
OTHER,NOT AVAILABLE,RED,SQUIER,PROVIDED,OTHER,SOLID,2019.0,OTHER,INDONESIA,6 STRING,RIGHT-HANDED,OTHER,Used,138.0
LES PAUL STUDIO,NOT AVAILABLE,OTHER,GIBSON,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,GIBSON LES PAUL,Used,1450.0
OTHER,PROVIDED,OTHER,IBANEZ,NOT AVAILABLE,OTHER,SOLID,2020.0,FULL SIZE,JAPAN,6 STRING,RIGHT-HANDED,OTHER,New,3499.99
OTHER,PROVIDED,OTHER,SCHECTER,NOT AVAILABLE,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,LEFT-HANDED,OTHER,Used,279.0
OTHER,PROVIDED,BLACK,OTHER,NOT AVAILABLE,SOLID WOOD,SOLID,2019.0,OTHER,CHINA,6 STRING,RIGHT-HANDED,OTHER,New,159.95
LES PAUL STANDARD,NOT AVAILABLE,OTHER,GIBSON,PROVIDED,OTHER,SOLID,2013.0,FULL SIZE,UNITED STATES,6 STRING,RIGHT-HANDED,GIBSON LES PAUL,Used,1975.0
OTHER,PROVIDED,OTHER,IBANEZ,PROVIDED,OTHER,SOLID,2017.0,OTHER,NOT AVAILABLE,7 STRING,RIGHT-HANDED,OTHER,Used,570.0
OTHER,NOT AVAILABLE,BLACK,FENDER,PROVIDED,OTHER,SOLID,1995.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,Used,250.0
OTHER,PROVIDED,OTHER,OTHER,NOT AVAILABLE,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,New,99.95
OTHER,NOT AVAILABLE,BLACK,IBANEZ,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,Used,128.51
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,OTHER,NOT AVAILABLE,OTHER,Used,2148.0
OTHER,NOT AVAILABLE,OTHER,EVH,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,799.0
OTHER,NOT AVAILABLE,OTHER,DANELECTRO,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,OTHER,NOT AVAILABLE,OTHER,Used,349.99
OTHER,NOT AVAILABLE,OTHER,OTHER,NOT AVAILABLE,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,New,54.99
CUSTOM,NOT AVAILABLE,OTHER,IBANEZ,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,7 STRING,NOT AVAILABLE,IBANEZ RG,Used,157.5
OTHER,NOT AVAILABLE,RED,FENDER,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,FENDER TELECASTER,Seller refurbished,120.0
OTHER,NOT AVAILABLE,OTHER,IBANEZ,PROVIDED,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,IBANEZ RG,Seller refurbished,175.0
HSS,NOT AVAILABLE,RED,OTHER,PROVIDED,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,Used,149.99
OTHER,NOT AVAILABLE,BLACK,DEAN,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,157.5
OTHER,NOT AVAILABLE,BLACK,GUILD,NOT AVAILABLE,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,Used,425.0
OTHER,NOT AVAILABLE,BLACK,SCHECTER,PROVIDED,OTHER,SOLID,2019.0,FULL SIZE,NOT AVAILABLE,7 STRING,RIGHT-HANDED,OTHER,Used,189.5
VINTAGE,NOT AVAILABLE,BROWN,UNBRANDED,PROVIDED,OTHER,SOLID,2019.0,OTHER,JAPAN,6 STRING,NOT AVAILABLE,OTHER,Used,169.99
OTHER,NOT AVAILABLE,OTHER,SCHECTER,NOT AVAILABLE,OTHER,SOLID,2011.0,OTHER,KOREA,6 STRING,RIGHT-HANDED,OTHER,Used,445.0
OTHER,PROVIDED,OTHER,OTHER,NOT AVAILABLE,OTHER,SEMI-HOLLOW,2019.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,Used,189.0
OTHER,NOT AVAILABLE,ORANGE,FENDER,NOT AVAILABLE,ALDER,SOLID,2019.0,FULL SIZE,CHINA,6 STRING,LEFT-HANDED,OTHER,Used,134.99
OTHER,NOT AVAILABLE,BLUE,IBANEZ,PROVIDED,OTHER,HOLLOW,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,325.0
STRATOCASTER AMERICAN STANDARD,NOT AVAILABLE,BROWN,FENDER,NOT AVAILABLE,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,634.0
OTHER,NOT AVAILABLE,OTHER,OTHER,NOT AVAILABLE,"SOLID WOOD, MAHOGANY",SOLID,2019.0,FULL SIZE,UNITED STATES,6 STRING,RIGHT-HANDED,STUDIO,Used,970.0
STRATOCASTER,NOT AVAILABLE,RED,FENDER,PROVIDED,OTHER,SOLID,1997.0,FULL SIZE,UNITED STATES,6 STRING,RIGHT-HANDED,FENDER STRATOCASTER,Used,551.16
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,OTHER,OTHER,2001.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,338.0
OTHER,NOT AVAILABLE,BEIGE,UNBRANDED,PROVIDED,OTHER,SOLID,2019.0,FULL SIZE,CHINA,6 STRING,RIGHT-HANDED,OTHER,New,199.0
CUSTOM,NOT AVAILABLE,BLACK,DEAN,NOT AVAILABLE,OTHER,SOLID,2019.0,FULL SIZE,KOREA,6 STRING,RIGHT-HANDED,OTHER,Used,249.99
LES PAUL STANDARD,NOT AVAILABLE,MULTICOLOR,EPIPHONE,PROVIDED,OTHER,SOLID,2019.0,FULL SIZE,KOREA,6 STRING,RIGHT-HANDED,EPIPHONE LES PAUL,Used,207.5
OTHER,NOT AVAILABLE,RED,G&L,PROVIDED,OTHER,OTHER,1995.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,710.0
OTHER,PROVIDED,RED,OTHER,PROVIDED,SOLID WOOD,SOLID,2007.0,OTHER,KOREA,6 STRING,RIGHT-HANDED,OTHER,Used,750.0
OTHER,NOT AVAILABLE,SUNBURST,OTHER,PROVIDED,OTHER,SOLID,2019.0,FULL SIZE,KOREA,6 STRING,RIGHT-HANDED,OTHER,Used,389.0
OTHER,NOT AVAILABLE,BLACK,RICKENBACKER,PROVIDED,OTHER,SEMI-HOLLOW,1999.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,1000.0
OTHER,NOT AVAILABLE,OTHER,OTHER,NOT AVAILABLE,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,Used,79.5
OTHER,NOT AVAILABLE,RED,SQUIER,PROVIDED,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,Used,144.99
OTHER,NOT AVAILABLE,CHERRY SUNBURST,EPIPHONE,NOT AVAILABLE,OTHER,SOLID,2019.0,FULL SIZE,UNITED STATES,6 STRING,RIGHT-HANDED,OTHER,Used,360.0
OTHER,NOT AVAILABLE,SILVER,OTHER,PROVIDED,OTHER,SOLID,2019.0,OTHER,KOREA,6 STRING,RIGHT-HANDED,OTHER,Used,200.0
OTHER,NOT AVAILABLE,SUNBURST,FENDER,PROVIDED,ALDER,SOLID,2019.0,FULL SIZE,MEXICO,6 STRING,RIGHT-HANDED,FENDER STRATOCASTER,Used,495.0
OTHER,NOT AVAILABLE,OTHER,EPIPHONE,PROVIDED,OTHER,SOLID,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,EPIPHONE LES PAUL,New,416.0
OTHER,NOT AVAILABLE,BLACK,FENDER,PROVIDED,OTHER,SOLID,2014.0,OTHER,UNITED STATES,6 STRING,LEFT-HANDED,AMERICAN STANDARD,Used,769.0
OTHER,NOT AVAILABLE,BLACK,SCHECTER,NOT AVAILABLE,OTHER,SOLID,2012.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,325.0
OTHER,NOT AVAILABLE,BLACK,IBANEZ,PROVIDED,SOLID WOOD,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,IBANEZ RG,Used,356.0
LES PAUL STANDARD,NOT AVAILABLE,OTHER,GIBSON,NOT AVAILABLE,OTHER,SOLID,1996.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,GIBSON LES PAUL,Used,3000.0
OTHER,NOT AVAILABLE,OTHER,GIBSON,NOT AVAILABLE,OTHER,OTHER,2008.0,FULL SIZE,UNITED STATES,6 STRING,RIGHT-HANDED,OTHER,Used,599.0
OTHER,NOT AVAILABLE,BLACK,GIBSON,NOT AVAILABLE,OTHER,SOLID,2017.0,FULL SIZE,UNITED STATES,6 STRING,RIGHT-HANDED,OTHER,Used,395.0
TELECASTER,NOT AVAILABLE,OTHER,FENDER,PROVIDED,OTHER,SOLID,2019.0,OTHER,JAPAN,6 STRING,RIGHT-HANDED,FENDER TELECASTER,Used,750.0
OTHER,NOT AVAILABLE,NATURAL,OTHER,NOT AVAILABLE,OTHER,SOLID,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,90.0
OTHER,PROVIDED,WHITE,FENDER,PROVIDED,OTHER,SOLID,2019.0,OTHER,UNITED STATES,6 STRING,RIGHT-HANDED,FENDER STRATOCASTER,Used,940.0
OTHER,NOT AVAILABLE,BLACK,SQUIER,PROVIDED,OTHER,OTHER,2000.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,FENDER STRATOCASTER,Used,90.0
WARLOCK,NOT AVAILABLE,BLACK,B.C. RICH,PROVIDED,OTHER,SOLID,2019.0,OTHER,KOREA,6 STRING,RIGHT-HANDED,OTHER,Used,112.5
OTHER,NOT AVAILABLE,OTHER,IBANEZ,NOT AVAILABLE,BASSWOOD,SOLID,2018.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,IBANEZ RG,Used,849.0
LES PAUL STANDARD,NOT AVAILABLE,OTHER,GIBSON,PROVIDED,SOLID WOOD,SOLID,2014.0,FULL SIZE,UNITED STATES,6 STRING,RIGHT-HANDED,GIBSON LES PAUL,Used,1599.0
PLUS,NOT AVAILABLE,CHERRY SUNBURST,EPIPHONE,PROVIDED,MAHOGANY,SOLID,2019.0,OTHER,CHINA,6 STRING,RIGHT-HANDED,EPIPHONE LES PAUL,NOT AVAILABLE,549.0
OTHER,NOT AVAILABLE,BLACK,FENDER,PROVIDED,OTHER,SOLID,2019.0,OTHER,MEXICO,6 STRING,RIGHT-HANDED,FENDER STRATOCASTER,Used,305.0
HSS,NOT AVAILABLE,SUNBURST,FENDER,NOT AVAILABLE,OTHER,SOLID,2019.0,FULL SIZE,INDONESIA,6 STRING,NOT AVAILABLE,FENDER STRATOCASTER,New,279.0
OTHER,NOT AVAILABLE,MULTICOLOR,FENDER,NOT AVAILABLE,OTHER,SOLID,2014.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,389.99
TELECASTER,NOT AVAILABLE,OTHER,FENDER,PROVIDED,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,FENDER TELECASTER,Used,750.0
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,OTHER,HOLLOW,2019.0,FULL SIZE,KOREA,6 STRING,RIGHT-HANDED,OTHER,Used,430.0
OTHER,NOT AVAILABLE,NATURAL,GIBSON,NOT AVAILABLE,OTHER,OTHER,1953.0,OTHER,UNITED STATES,6 STRING,RIGHT-HANDED,OTHER,Used,2599.99
OTHER,NOT AVAILABLE,MULTICOLOR,FENDER,PROVIDED,ALDER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,FENDER STRATOCASTER,Used,1058.0
LES PAUL SPECIAL II,NOT AVAILABLE,BLACK,EPIPHONE,NOT AVAILABLE,OTHER,SOLID,2017.0,OTHER,CHINA,6 STRING,RIGHT-HANDED,EPIPHONE LES PAUL,Used,99.99
OTHER,NOT AVAILABLE,OTHER,TAYLOR,NOT AVAILABLE,OTHER,OTHER,2007.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,Used,500.0
OTHER,PROVIDED,OTHER,OTHER,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,OTHER,NOT AVAILABLE,OTHER,New,179.99
OTHER,NOT AVAILABLE,OTHER,ESP,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,OTHER,NOT AVAILABLE,OTHER,New,199.0
OTHER,PROVIDED,OTHER,OTHER,PROVIDED,HARDWOOD,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,New,87.79
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,OTHER,NOT AVAILABLE,OTHER,NOT AVAILABLE,1999.99
OTHER,NOT AVAILABLE,OTHER,UNBRANDED,NOT AVAILABLE,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,New,49.98
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,OTHER,NOT AVAILABLE,OTHER,New,49.95
OTHER,PROVIDED,OTHER,FENDER,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,OTHER,NOT AVAILABLE,OTHER,Open box,809.99
OTHER,PROVIDED,OLYMPIC WHITE,FENDER,PROVIDED,ALDER,SOLID,2019.0,OTHER,CHINA,6 STRING,RIGHT-HANDED,OTHER,New,199.99
