Model,MPN,Body Color,Brand,UPC,Body Material,Body Type,Model Year,Size,Country/Region of Manufacture,String Configuration,Orientation,Product Line,Condition,Price
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,OTHER,DREADNOUGHT,1982.0,OTHER,JAPAN,6 STRING,RIGHT-HANDED,OTHER,Used,799.0
OTHER,NOT AVAILABLE,OTHER,UNBRANDED,NOT AVAILABLE,OTHER,SOLID,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,80.0
OTHER,NOT AVAILABLE,BLACK,GIBSON,PROVIDED,OTHER,SOLID,1992.0,OTHER,UNITED STATES,6 STRING,RIGHT-HANDED,OTHER,Used,1500.0
LES PAUL STUDIO,NOT AVAILABLE,OTHER,GIBSON,PROVIDED,OTHER,OTHER,2011.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,GIBSON LES PAUL,Used,920.0
OTHER,NOT AVAILABLE,BLACK,GIBSON,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,GIBSON LES PAUL,Used,1625.0
OTHER,PROVIDED,BLACK,JACKSON,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,7 STRING,NOT AVAILABLE,JACKSON X,Used,270.0
OTHER,NOT AVAILABLE,BLUE,IBANEZ,PROVIDED,OTHER,HOLLOW,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,285.0
SHORTY TRAVEL GUITAR,NOT AVAILABLE,RED,OTHER,NOT AVAILABLE,OTHER,SOLID,2019.0,TRAVEL,CHINA,6 STRING,RIGHT-HANDED,OTHER,NOT AVAILABLE,109.99
OTHER,NOT AVAILABLE,MULTICOLOR,EPIPHONE,PROVIDED,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,125.0
OTHER,NOT AVAILABLE,OTHER,OTHER,NOT AVAILABLE,OTHER,OTHER,2019.0,OTHER,CHINA,6 STRING,RIGHT-HANDED,OTHER,NOT AVAILABLE,589.45
OTHER,NOT AVAILABLE,BLACK,OTHER,NOT AVAILABLE,OTHER,SOLID,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,NOT AVAILABLE,29.95
OTHER,NOT AVAILABLE,BLACK,OTHER,PROVIDED,OTHER,SOLID,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,NOT AVAILABLE,67.0
OTHER,PROVIDED,GREEN,COZART,NOT AVAILABLE,BASSWOOD,SOLID,2019.0,FULL SIZE,NOT AVAILABLE,7 STRING,RIGHT-HANDED,OTHER,Used,112.5
